xi,mu,sigma0,adm_mass,max_phi,A_inf,B_inf,converged,trivial,residual
-20.0,0.5222222222222223,0.04216315789473685,-1.4925380080790864e-08,7.274977860445779e-18,0.9999999999999999,0.9999999996882254,True,True,3.0933966782010003e-11
-20.0,0.5222222222222223,0.047421052631578954,-3.4141423730702356e-08,1.241135717608426e-13,1.0,0.9999999992868236,True,True,5.513150536077595e-11
-20.0,0.5222222222222223,0.05267894736842106,1.669820664719047e-08,1.670457914600306e-14,1.0,1.000000000348807,True,True,5.701717734237127e-11
-20.0,0.5222222222222223,0.05793684210526316,-6.475260753123461e-08,2.2908000338351815e-12,1.0000000000000002,0.9999999986473901,True,True,2.3962739921193694e-10
-20.0,0.5222222222222223,0.06319473684210526,-5.3743711608704295e-09,4.069616607779724e-18,1.0,0.9999999998877355,True,True,1.0645545159099546e-11
-20.0,0.5222222222222223,0.06845263157894738,2.9356336510624802e-08,2.0397708250837327e-15,0.9999999999999999,1.0000000006132213,True,True,4.951461601865677e-11
-20.0,0.5222222222222223,0.07371052631578948,2.5670051191078656e-08,1.0354653791460966e-13,1.0,1.0000000005362188,True,True,6.0475575845992686e-12
-20.0,0.5222222222222223,0.07896842105263159,-2.4976499591948616e-08,4.958588416322573e-19,1.0,0.9999999994782688,True,True,4.797473229725781e-11
-20.0,0.5222222222222223,0.08422631578947369,-7.346249034621802e-07,1.5678635068704547e-11,1.0,0.9999999846545022,True,True,7.903051554532376e-11
-20.0,0.5222222222222223,0.08948421052631579,7.21554954084086e-07,1.3128458152659193e-11,0.9999999999999999,1.0000000150724815,True,True,1.5678900394067825e-10
-20.0,0.5222222222222223,0.0947421052631579,-3.413333445677081e-10,2.847103721465053e-16,1.0,0.9999999999928699,True,True,7.649310815190132e-14
-20.0,0.5222222222222223,0.1,-1.7521197259020238e-09,1.368805667768348e-14,1.0,0.9999999999634002,True,True,3.434857773756486e-13
-20.0,0.7333333333333333,0.0001,-1.755800202199706e-07,3.2244132896343423e-13,0.9999999999999999,0.9999999948496527,True,True,3.6934765504699934e-11
-20.0,0.7333333333333333,0.005357894736842106,-1.191359738134617e-07,5.968014564198735e-12,1.0,0.9999999965053449,True,True,1.1310891662077786e-10
-20.0,0.7333333333333333,0.01061578947368421,-9.371564130782935e-09,6.821822756237208e-13,1.0,0.9999999997251009,True,True,2.697862695755205e-11
-20.0,0.7333333333333333,0.015873684210526314,8.254760511502727e-11,4.6227955248168085e-17,0.9999999999999999,1.0000000000024214,True,True,5.2080414063067926e-14
